"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1277","300 Hayes Street, Civic Center, San Francisco","2","400 Northumberland Avenue, Redwood Oaks, Redwood City","10/1/2017 - 10/31/2017, Every day, Daily Average",2160,1751,2664
"1277","300 Hayes Street, Civic Center, San Francisco","8","700 Carlsbad Court, Petaluma","10/1/2017 - 10/31/2017, Every day, Daily Average",3227,2505,4156
"1277","300 Hayes Street, Civic Center, San Francisco","9","500 Hyde Street, Tenderloin, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",373,243,572
"1277","300 Hayes Street, Civic Center, San Francisco","11","0 Mesa Vista Court, San Ramon","10/1/2017 - 10/31/2017, Every day, Daily Average",2954,2207,3953
"1277","300 Hayes Street, Civic Center, San Francisco","20","900 Sutter Street, Lower Nob Hill, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",371,231,594
"1277","300 Hayes Street, Civic Center, San Francisco","21","3400 Pierce Street, Marina District, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",724,530,987
"1277","300 Hayes Street, Civic Center, San Francisco","30","2200 Central Avenue, Alameda","10/1/2017 - 10/31/2017, Every day, Daily Average",1617,1283,2036
"1277","300 Hayes Street, Civic Center, San Francisco","31","5900 San Diego Street, El Cerrito","10/1/2017 - 10/31/2017, Every day, Daily Average",1574,1092,2267
"1277","300 Hayes Street, Civic Center, San Francisco","44","1700 Egbert Avenue, Bayview, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",917,646,1300
"1277","300 Hayes Street, Civic Center, San Francisco","46","500 Chester Street, West Oakland, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1033,748,1426
"1277","300 Hayes Street, Civic Center, San Francisco","57","1700 Bayo Vista Avenue, San Pablo","10/1/2017 - 10/31/2017, Every day, Daily Average",1573,1201,2059
"1277","300 Hayes Street, Civic Center, San Francisco","58","5600 Genoa Street, Santa Fe, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1610,1134,2285
"1277","300 Hayes Street, Civic Center, San Francisco","60","33900 Emilia Lane, Ardenwood, Fremont","10/1/2017 - 10/31/2017, Every day, Daily Average",2562,2022,3244
"1277","300 Hayes Street, Civic Center, San Francisco","61","5400 Ridgewood Drive, Ardenwood, Fremont","10/1/2017 - 10/31/2017, Every day, Daily Average",2622,2016,3410
"1277","300 Hayes Street, Civic Center, San Francisco","64","5200 Selma Avenue, Centerville, Fremont","10/1/2017 - 10/31/2017, Every day, Daily Average",2931,2225,3859
"1277","300 Hayes Street, Civic Center, San Francisco","65","42600 Everglades Park Drive, Blacow, Fremont","10/1/2017 - 10/31/2017, Every day, Daily Average",2934,2268,3794
"1277","300 Hayes Street, Civic Center, San Francisco","78","1400 Thomas Avenue, Bayview, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",963,711,1303
